url,longitud_url,tiene_https,cantidad_guiones,cantidad_digitos,ranking_alexa,longitud_titulo,cantidad_palabras_clave,tiempo_registro,es_phishing
mendoza.com,11,True,0,0,19398,26,5,5,False
castro.com,10,False,0,0,186673,51,1,3,True
williams.com,12,False,0,0,327287,66,0,3,True
sanchez.biz,11,False,0,0,477106,51,15,4,True
wilson.com,10,True,0,0,216415,17,2,12,False
miles.com,9,True,0,0,308404,45,4,6,True
lane.com,8,False,0,0,314440,50,4,13,True
moss-jones.net,14,True,1,0,353301,70,15,16,False
barker-dominguez.org,20,False,1,0,460318,27,7,18,False
ortiz.net,9,False,0,0,76974,32,0,1,False
davis.biz,9,True,0,0,411949,34,14,20,True
guzman.biz,10,False,0,0,494849,58,8,8,True
phelps-kirk.com,15,False,1,0,132365,66,14,2,True
carpenter.com,13,False,0,0,154147,51,2,3,False
murray.biz,10,False,0,0,403229,55,2,14,True
young-dickson.com,17,False,1,0,487194,19,10,7,True
sheppard.com,12,False,0,0,79667,46,5,3,True
johnson-cline.org,17,True,1,0,197595,22,11,8,True
haynes.com,10,True,0,0,189917,52,7,7,True
carrillo.com,12,False,0,0,389099,61,6,15,True
peterson-barber.com,19,True,1,0,174111,70,10,6,True
martinez.com,12,False,0,0,326609,51,10,2,True
hood.net,8,False,0,0,148447,12,8,3,False
williams.com,12,False,0,0,189063,14,7,3,False
jones.com,9,False,0,0,443092,23,7,18,False
stewart.com,11,True,0,0,320308,34,8,4,True
howard.com,10,False,0,0,29048,14,4,11,False
mcdonald.com,12,True,0,0,244074,22,9,16,True
nichols.com,11,True,0,0,479188,63,8,19,False
soto-soto.info,14,True,1,0,392299,13,7,12,False
blevins.org,11,True,0,0,97929,55,2,13,True
patterson-scott.com,19,False,1,0,164208,67,15,8,False
sanchez.com,11,False,0,0,231664,62,11,16,True
johnson-davis.com,17,False,1,0,112465,47,9,19,True
cox.com,7,True,0,0,44516,70,3,20,True
davis.net,9,False,0,0,184805,16,0,19,False
schultz-perez.net,17,False,1,0,226398,50,3,19,False
hernandez.com,13,True,0,0,460158,52,14,11,False
smith-castro.net,16,True,1,0,332379,11,15,19,False
blanchard-cooper.biz,20,False,1,0,402584,13,0,18,True
brown-sanchez.com,17,False,1,0,303628,24,14,18,True
hoover.com,10,True,0,0,498025,47,5,8,False
green.org,9,True,0,0,271257,66,10,3,True
maldonado-garcia.com,20,False,1,0,90393,28,13,2,False
jacobs.com,10,False,0,0,446179,33,12,18,True
sims.com,8,False,0,0,6271,24,13,12,True
garcia-whitehead.com,20,False,1,0,309110,58,11,19,False
arnold.com,10,False,0,0,407624,56,11,19,False
luna.com,8,True,0,0,429922,42,13,16,False
reid.com,8,False,0,0,307260,40,0,9,False
anderson-lang.com,17,False,1,0,216136,12,9,2,False
lynch.com,9,False,0,0,337166,15,13,16,True
dixon.biz,9,True,0,0,192100,26,13,2,True
alvarez.com,11,False,0,0,28834,34,15,6,False
leon.com,8,False,0,0,476456,28,5,1,True
porter-ortega.net,17,False,1,0,19236,34,14,17,False
mann-hill.com,13,False,1,0,104792,60,13,2,False
cannon.com,10,False,0,0,155806,36,5,4,False
campbell-hayes.com,18,False,1,0,304000,17,3,19,False
fernandez-nicholson.biz,23,True,1,0,10681,33,2,2,False
smith-turner.org,16,False,1,0,230765,37,5,4,True
shannon.com,11,False,0,0,165470,25,0,18,True
cook-bates.net,14,True,1,0,151103,33,8,6,True
martin-jacobs.com,17,False,1,0,161632,67,9,11,True
phillips.com,12,True,0,0,289703,17,3,17,False
morgan.net,10,True,0,0,395801,33,9,18,True
davis.com,9,False,0,0,420687,25,10,10,False
petersen.biz,12,True,0,0,353381,58,5,1,False
gordon.com,10,True,0,0,283059,21,14,2,True
harris.com,10,False,0,0,454427,70,5,20,False
pham.com,8,False,0,0,282762,46,6,12,True
murray.org,10,True,0,0,110509,58,3,2,False
goodwin-bruce.org,17,True,1,0,444267,67,1,5,False
carlson.com,11,False,0,0,206135,66,0,17,True
humphrey-dixon.com,18,True,1,0,268665,70,9,17,False
robbins.com,11,True,0,0,184038,69,1,3,True
rodriguez.net,13,False,0,0,239864,26,15,17,False
roberts-allen.com,17,False,1,0,93524,38,11,6,True
smith-meza.com,14,True,1,0,39341,67,6,15,True
banks.com,9,True,0,0,76499,61,7,5,False
barajas.com,11,True,0,0,169768,48,4,3,True
woods.com,9,False,0,0,227531,42,5,15,False
cox-torres.org,14,True,1,0,403533,44,9,2,False
wilkins.com,11,False,0,0,10320,62,10,17,False
hardin-carey.com,16,True,1,0,217337,30,0,7,False
bell-adams.com,14,True,1,0,253329,13,11,17,False
montgomery.com,14,True,0,0,76114,50,11,20,True
taylor-kim.com,14,False,1,0,212041,42,2,13,False
baxter-jimenez.net,18,True,1,0,482610,24,6,16,False
steele-maldonado.com,20,True,1,0,257796,16,14,13,True
hayes-gardner.com,17,False,1,0,108513,24,3,7,True
cruz.com,8,True,0,0,415939,57,15,18,True
gould.com,9,False,0,0,274591,28,3,7,True
walker.com,10,True,0,0,237566,33,3,14,False
hall.net,8,True,0,0,340468,38,11,14,False
andrade-shea.com,16,False,1,0,8809,11,11,2,True
martin.info,11,True,0,0,391914,57,13,2,True
martin-barrett.info,19,True,1,0,291976,45,10,12,False
smith.com,9,True,0,0,265678,25,14,19,True
hamilton.com,12,False,0,0,280115,48,10,13,False
myers-lynch.com,15,False,1,0,370458,42,15,18,False
marshall.com,12,False,0,0,110498,54,5,12,False
rivera.com,10,True,0,0,448087,19,8,16,True
liu.com,7,True,0,0,261855,34,1,14,True
rodriguez.com,13,True,0,0,355437,59,8,18,True
richards-smith.com,18,True,1,0,155907,31,14,20,False
alvarado-maxwell.net,20,True,1,0,343550,50,12,8,True
nguyen.com,10,True,0,0,126696,33,5,1,False
barnes.info,11,True,0,0,242189,70,14,2,False
reilly.info,11,False,0,0,134374,49,10,5,True
davis-smith.net,15,False,1,0,238121,22,0,4,False
chavez-williams.com,19,False,1,0,421672,32,13,18,False
garrett-ellis.org,17,True,1,0,283905,50,7,11,True
phillips.com,12,True,0,0,77874,30,0,11,False
burke.info,10,True,0,0,203634,50,6,20,True
henderson.biz,13,True,0,0,279444,16,4,6,False
ayers.info,10,False,0,0,14378,32,10,2,True
erickson.com,12,False,0,0,196771,69,11,8,False
gross.com,9,True,0,0,202013,22,13,20,True
meyer.com,9,True,0,0,234738,57,1,1,False
kennedy.org,11,True,0,0,314506,60,8,11,True
johnson-johnston.biz,20,True,1,0,60390,25,3,13,True
lopez-tran.com,14,False,1,0,354973,33,4,8,True
bradford.info,13,False,0,0,210384,25,9,12,True
smith.com,9,True,0,0,355899,10,9,4,False
hill.org,8,False,0,0,482445,46,7,4,False
campbell.com,12,False,0,0,73345,53,11,5,True
phillips.info,13,False,0,0,84682,19,7,8,True
rodriguez.biz,13,True,0,0,326083,34,8,10,False
bell-allen.com,14,True,1,0,320424,21,5,1,True
stephens.com,12,True,0,0,75831,64,13,16,True
lopez-reid.com,14,True,1,0,409098,47,6,16,True
stanley-hart.com,16,True,1,0,465137,11,1,8,False
montgomery.com,14,False,0,0,414927,69,3,6,True
perez.com,9,True,0,0,13668,13,5,18,False
boyd.com,8,False,0,0,426552,40,11,19,True
johnson.info,12,True,0,0,196438,36,12,7,False
franklin.com,12,True,0,0,483005,11,14,19,True
johnson.com,11,False,0,0,259045,67,11,14,True
scott.com,9,False,0,0,262881,10,7,18,False
allen-miller.info,17,False,1,0,448346,58,15,13,False
schmidt.com,11,True,0,0,309193,37,10,5,False
oconnor.org,11,False,0,0,122058,59,3,20,True
parker-hill.com,15,True,1,0,163377,64,13,12,True
garcia.org,10,True,0,0,223844,22,5,11,True
salazar.com,11,False,0,0,309334,44,3,10,False
harmon.info,11,True,0,0,34192,50,6,6,False
gardner-davis.info,18,False,1,0,131301,38,7,10,True
spears.org,10,True,0,0,448995,61,14,19,True
adams-miranda.com,17,False,1,0,264733,64,3,13,True
galloway-vaughn.net,19,True,1,0,416979,65,3,18,True
cardenas-dennis.biz,19,True,1,0,71647,49,9,3,True
cochran.com,11,False,0,0,23934,25,12,3,False
ray.org,7,False,0,0,161686,11,14,15,False
stevens-gray.com,16,False,1,0,198384,40,1,13,False
martin.com,10,True,0,0,251868,31,9,2,False
johnson.com,11,True,0,0,427340,55,5,3,True
peterson.com,12,True,0,0,266740,66,15,6,True
fleming.com,11,False,0,0,369584,10,1,18,False
soto.info,9,True,0,0,488825,62,3,6,False
forbes-franco.com,17,False,1,0,189584,31,3,5,True
bradley.com,11,False,0,0,105780,33,7,14,True
singh-miranda.org,17,False,1,0,332749,20,9,19,True
madden.com,10,False,0,0,260268,16,3,11,True
michael.info,12,False,0,0,437644,46,6,16,False
odonnell.com,12,False,0,0,483126,45,7,14,False
bautista.com,12,False,0,0,438642,25,4,18,False
west-lester.com,15,False,1,0,210569,31,4,1,True
cervantes.com,13,False,0,0,277008,66,0,19,False
johnston-johnson.com,20,True,1,0,340776,32,8,18,False
benitez.biz,11,False,0,0,211982,23,6,14,True
contreras.com,13,False,0,0,60125,39,5,17,False
dickerson.info,14,False,0,0,342692,53,1,17,False
blankenship.com,15,False,0,0,354590,55,8,8,False
horn.com,8,False,0,0,351419,59,15,12,True
hunt.biz,8,False,0,0,377660,69,9,2,True
gordon.info,11,True,0,0,358417,58,0,19,False
owens.biz,9,True,0,0,122195,69,5,1,True
hammond.com,11,False,0,0,326164,59,4,12,False
mitchell.org,12,False,0,0,281520,60,3,18,True
warren-byrd.com,15,False,1,0,490195,12,10,17,True
thompson.com,12,True,0,0,23534,50,5,10,True
williams.com,12,False,0,0,462859,47,11,16,False
brown.net,9,False,0,0,294005,20,6,20,False
le.com,6,True,0,0,22411,10,13,6,False
hayes-morris.com,16,True,1,0,392328,64,4,16,False
hall.com,8,False,0,0,144902,44,7,7,True
dean.com,8,True,0,0,70921,47,7,18,True
miller.org,10,True,0,0,63724,48,8,15,False
mcdonald-stewart.net,20,True,1,0,187497,11,3,18,True
thornton.net,12,False,0,0,159127,61,13,20,True
cross.com,9,True,0,0,411663,52,14,11,True
bates.com,9,True,0,0,266968,49,1,14,True
howard.biz,10,False,0,0,481461,58,9,10,True
turner.com,10,True,0,0,204720,54,14,16,True
wright.com,10,True,0,0,173899,46,1,14,True
wilson.com,10,False,0,0,110922,47,3,2,False
mckinney.biz,12,True,0,0,221420,23,13,16,True
glover.org,10,False,0,0,432275,42,12,12,False
boone-jones.com,15,False,1,0,353052,30,9,1,False
burton.net,10,False,0,0,321979,52,9,1,True
shepard-abbott.info,19,False,1,0,161937,25,2,7,True
brooks.com,10,True,0,0,212666,21,9,3,True
castillo-warner.com,19,False,1,0,212860,31,11,19,True
johnson.biz,11,False,0,0,353312,31,11,4,False
brown-shea.com,14,True,1,0,12813,14,15,10,False
patel.com,9,False,0,0,97716,35,0,20,False
barber.net,10,True,0,0,381030,44,0,4,False
wise-nelson.com,15,True,1,0,71860,20,1,13,False
hunter.com,10,False,0,0,298253,36,0,1,True
hall.org,8,False,0,0,227507,44,12,3,False
rodriguez-mercado.biz,21,False,1,0,497236,39,15,20,False
kim.com,7,False,0,0,126464,50,2,15,False
miller-khan.info,16,True,1,0,419997,35,10,17,False
anderson-morgan.com,19,True,1,0,286316,68,7,14,False
cortez-jones.net,16,True,1,0,411819,37,4,5,True
myers.com,9,True,0,0,295710,19,7,13,False
allen-smith.com,15,True,1,0,347072,11,5,17,False
perez.info,10,False,0,0,377445,14,4,19,False
byrd.com,8,True,0,0,241734,11,6,18,False
barber-kim.com,14,False,1,0,165214,12,4,3,False
aguilar.org,11,True,0,0,232293,56,6,16,True
serrano-weaver.com,18,True,1,0,151882,45,0,18,True
griffin-campos.org,18,True,1,0,147812,16,6,6,False
randall.com,11,True,0,0,31234,59,1,15,False
silva.net,9,True,0,0,188942,50,1,15,False
lee.com,7,False,0,0,487480,57,2,1,True
reed-gardner.net,16,True,1,0,270692,22,13,2,False
mckenzie-gross.com,18,True,1,0,156103,26,7,14,True
davis.com,9,True,0,0,30562,45,0,5,True
villegas.com,12,True,0,0,401420,41,10,8,False
hopkins.biz,11,False,0,0,142528,20,6,15,False
lopez.com,9,True,0,0,496717,51,8,18,False
young.com,9,False,0,0,101104,28,6,16,True
molina.com,10,False,0,0,347525,41,4,12,False
zhang-stokes.com,16,True,1,0,458275,27,12,10,True
parker.biz,10,False,0,0,254304,47,6,14,True
paul-harris.net,15,False,1,0,321175,51,4,18,True
holland.com,11,False,0,0,207049,58,9,18,True
barajas.org,11,False,0,0,483957,25,13,16,False
hart-moore.info,15,True,1,0,326489,25,4,19,False
lopez.org,9,False,0,0,392925,49,4,14,True
chen.info,9,True,0,0,177948,62,12,6,True
potter.com,10,False,0,0,13186,50,6,3,False
edwards.info,12,True,0,0,73278,11,13,1,True
franklin.info,13,True,0,0,359276,25,0,13,False
turner-diaz.com,15,False,1,0,325323,16,12,5,False
mcdonald-haley.net,18,False,1,0,14602,42,9,11,False
kennedy.biz,11,False,0,0,443208,36,14,13,True
fitzgerald.com,14,False,0,0,385457,36,11,8,False
larson-west.net,15,False,1,0,336978,60,13,2,False
ortega.com,10,False,0,0,18263,61,11,3,True
george.biz,10,True,0,0,424235,29,0,7,True
smith.org,9,False,0,0,324351,51,3,18,True
rogers-sheppard.info,20,True,1,0,415462,38,4,1,False
bishop.com,10,False,0,0,400823,67,5,6,False
holland-santana.net,19,False,1,0,276220,62,10,6,False
macdonald.com,13,False,0,0,251588,59,1,3,True
chandler.com,12,True,0,0,482698,10,9,7,True
gonzales-conrad.com,19,True,1,0,298666,50,1,16,False
wilson.info,11,True,0,0,222015,38,0,18,True
gordon.org,10,True,0,0,113197,20,8,14,False
gardner.info,12,False,0,0,450566,38,14,15,False
wilcox.info,11,False,0,0,26092,49,0,3,True
le.com,6,False,0,0,351545,17,6,8,False
smith.com,9,True,0,0,374235,59,7,16,True
pruitt-patton.com,17,True,1,0,489208,63,10,10,True
edwards-knapp.net,17,True,1,0,486060,47,10,18,True
hall.com,8,False,0,0,255801,33,11,7,False
moreno-anderson.biz,19,False,1,0,356117,49,8,15,False
johnston.org,12,False,0,0,481746,56,6,1,False
dudley.com,10,False,0,0,264947,42,8,14,True
kane-martinez.org,17,False,1,0,239040,42,1,11,False
chaney.net,10,False,0,0,409889,37,6,1,True
moody.com,9,True,0,0,238064,70,6,15,False
lewis.com,9,False,0,0,468400,15,4,6,True
watts.com,9,True,0,0,363621,60,15,2,True
carter.com,10,False,0,0,479331,52,12,9,True
king.com,8,False,0,0,4478,63,13,17,False
nelson.info,11,True,0,0,392730,57,10,1,False
miller.com,10,False,0,0,53586,28,8,2,False
hall-lynch.com,14,False,1,0,383840,31,9,4,True
reid.com,8,True,0,0,219154,33,2,11,True
reid.com,8,False,0,0,365090,58,1,13,True
williams-young.biz,18,False,1,0,386063,65,7,15,True
brown.com,9,True,0,0,272040,52,14,1,True
nelson.com,10,False,0,0,27485,41,5,16,False
torres-moore.com,16,False,1,0,478454,14,11,18,False
campbell.org,12,False,0,0,299709,48,4,14,False
mendoza.com,11,False,0,0,469405,31,1,10,True
peters.info,11,True,0,0,5686,10,0,13,True
johnson.com,11,True,0,0,355859,25,8,11,True
oconnell.biz,12,False,0,0,472046,66,13,18,False
douglas-robertson.com,21,True,1,0,327757,49,3,2,True
combs.com,9,False,0,0,380927,10,15,20,False
gutierrez-garcia.com,20,True,1,0,200288,47,14,17,True
landry.com,10,True,0,0,145201,55,10,7,False
miranda.com,11,True,0,0,370867,55,12,2,True
johnson-may.biz,15,True,1,0,382664,51,12,2,True
garcia.biz,10,True,0,0,175670,16,8,5,False
harris.com,10,True,0,0,242766,30,13,17,False
white.com,9,True,0,0,232048,56,13,17,True
wilson-blair.org,16,False,1,0,27164,37,7,2,False
buck.org,8,True,0,0,97585,44,2,19,True
coleman.com,11,True,0,0,206982,22,10,13,True
mitchell-martin.net,19,True,1,0,233221,70,4,19,False
gonzalez.com,12,False,0,0,228091,14,13,13,True
reynolds-skinner.com,20,True,1,0,376988,60,3,20,True
mullen.info,11,False,0,0,269803,65,15,16,True
reese-bolton.com,16,True,1,0,346743,58,6,6,True
ross.com,8,True,0,0,152169,14,12,17,True
wright.com,10,False,0,0,399987,68,2,14,True
odonnell-fox.com,16,False,1,0,366239,65,6,19,False
sutton-lopez.biz,16,False,1,0,458831,50,2,20,True
roberts-miller.com,18,True,1,0,31038,54,5,8,False
webster-jackson.com,19,False,1,0,397514,70,0,3,False
anderson.net,12,True,0,0,488620,21,2,17,True
baldwin.com,11,False,0,0,332959,70,4,12,True
smith.org,9,True,0,0,442508,16,6,10,False
spencer.com,11,True,0,0,14035,24,15,2,False
anthony.com,11,True,0,0,358001,50,3,18,False
farrell-fowler.org,18,True,1,0,12136,53,10,13,False
gregory-anderson.biz,20,True,1,0,280260,61,6,18,True
johnson.com,11,True,0,0,286032,41,12,2,True
bolton-lindsey.com,18,False,1,0,154968,52,5,17,True
barton-perez.org,16,True,1,0,499667,41,10,12,True
davis.org,9,True,0,0,12269,10,2,6,True
garcia-cooper.info,18,False,1,0,395656,15,6,8,True
benjamin.net,12,True,0,0,351869,49,10,3,True
zavala.com,10,True,0,0,406849,11,0,7,False
nichols.biz,11,True,0,0,43356,31,13,9,False
burgess.org,11,True,0,0,141301,22,8,19,False
hall.net,8,True,0,0,37325,13,6,8,True
dixon-shaw.com,14,False,1,0,459827,43,6,12,False
galloway-frost.net,18,True,1,0,404399,34,1,16,True
white.com,9,False,0,0,295442,54,14,14,False
davis.com,9,False,0,0,113244,31,11,17,False
lucas.net,9,False,0,0,39685,63,4,14,False
turner.net,10,True,0,0,466989,44,7,17,False
santiago-evans.org,18,True,1,0,231808,48,5,20,False
barber-miller.com,17,True,1,0,103276,28,11,11,False
gibson-bender.com,17,True,1,0,481630,58,0,5,True
holland-lewis.net,17,True,1,0,178426,70,1,4,True
drake.com,9,True,0,0,222720,43,11,11,True
randall-hull.com,16,True,1,0,420306,22,1,20,True
skinner.com,11,True,0,0,139356,68,4,10,False
lopez.com,9,True,0,0,87741,42,13,1,True
bennett-wang.com,16,True,1,0,419577,64,3,5,True
steele.com,10,True,0,0,459226,26,15,1,True
white-sanders.biz,17,True,1,0,98201,34,13,4,True
johnson.com,11,True,0,0,265647,55,0,5,True
shaw.com,8,False,0,0,436755,44,12,13,True
anderson.biz,12,True,0,0,118595,10,3,9,False
hickman.biz,11,False,0,0,211646,57,8,6,True
villarreal.com,14,True,0,0,260025,34,1,14,False
tran-mitchell.com,17,True,1,0,119433,46,12,20,False
sutton-hall.com,15,False,1,0,465503,20,14,12,False
marks.com,9,True,0,0,140953,38,2,15,False
moore.net,9,True,0,0,443681,64,10,18,False
larsen.net,10,True,0,0,103168,30,12,18,False
brown.com,9,True,0,0,197270,32,7,2,False
briggs.info,11,False,0,0,355635,66,8,20,False
rogers.com,10,True,0,0,113832,12,14,19,True
wilson-mitchell.com,19,False,1,0,234668,56,9,5,False
turner-espinoza.com,19,True,1,0,306497,16,1,2,False
alvarado.com,12,True,0,0,283534,58,9,18,False
watson.org,10,True,0,0,269839,11,3,20,True
miller-brown.org,16,False,1,0,3142,16,15,1,False
anderson-young.com,18,True,1,0,429182,25,14,2,False
ramos.com,9,True,0,0,171476,60,13,18,False
barton-weber.com,16,False,1,0,111866,67,4,1,True
matthews.com,12,True,0,0,241248,64,13,9,False
bowman.info,11,True,0,0,15603,45,12,9,False
flores.net,10,False,0,0,483530,12,1,3,True
ferguson-robertson.net,22,False,1,0,130598,70,11,3,True
hammond.com,11,False,0,0,283674,66,14,4,False
edwards.com,11,False,0,0,239937,53,7,8,False
green.com,9,False,0,0,267262,27,1,12,True
murphy.org,10,False,0,0,415815,70,4,6,True
baker.com,9,False,0,0,339544,27,3,6,False
mcdonald.com,12,True,0,0,190307,57,4,9,True
barnes.com,10,True,0,0,367039,56,12,18,True
harrison-stout.com,18,True,1,0,88730,49,1,8,False
owens-howard.com,16,True,1,0,1119,39,2,5,False
wilkins.com,11,True,0,0,65717,27,14,3,True
ibarra.com,10,False,0,0,393487,68,6,19,False
lee.com,7,True,0,0,374291,63,8,20,False
carter.com,10,True,0,0,116916,65,15,10,True
jimenez-mcdonald.com,20,True,1,0,10086,32,0,8,True
vega.com,8,False,0,0,108098,63,11,8,False
levy.info,9,True,0,0,204450,70,10,13,False
martinez-mccoy.com,18,True,1,0,264107,64,12,8,False
cook-bennett.com,16,False,1,0,86550,18,15,12,True
richardson-wilson.com,21,True,1,0,44328,58,3,18,False
ramirez.com,11,True,0,0,146594,42,13,10,False
evans.org,9,True,0,0,388117,29,9,16,False
ellis.org,9,False,0,0,127631,65,12,18,True
ramos-stewart.com,17,True,1,0,67895,48,1,18,True
erickson.biz,12,True,0,0,323082,31,2,14,False
grimes-dorsey.net,17,False,1,0,36569,45,13,4,True
briggs.com,10,True,0,0,459303,36,5,7,True
ford.com,8,False,0,0,248291,63,2,6,True
williams.info,13,True,0,0,439314,56,5,18,False
baker.org,9,False,0,0,286178,21,11,7,True
giles.info,10,True,0,0,332840,64,0,6,False
hughes.com,10,True,0,0,278334,60,9,7,True
lee.com,7,False,0,0,124541,30,9,15,True
moody-martinez.com,18,False,1,0,444579,61,2,3,True
watkins.com,11,False,0,0,127714,65,4,20,False
spencer.org,11,False,0,0,233302,65,6,11,True
booth.com,9,False,0,0,373664,69,3,4,False
perez.com,9,True,0,0,283739,37,11,16,False
martin-fischer.com,18,False,1,0,349126,56,14,12,True
lee.com,7,False,0,0,344074,58,6,7,True
hayes.com,9,False,0,0,103259,23,2,18,True
mullins.com,11,False,0,0,126215,40,2,5,False
hernandez.info,14,False,0,0,421940,51,4,5,True
jones.com,9,False,0,0,202558,14,7,6,False
marshall-farmer.com,19,False,1,0,23211,66,6,20,True
braun-jackson.org,17,True,1,0,385942,39,12,9,True
holloway-smith.com,18,True,1,0,91780,18,10,12,True
nelson.info,11,False,0,0,19012,56,2,13,False
wright.com,10,True,0,0,380456,39,4,1,True
gardner.info,12,False,0,0,10237,65,6,5,True
salazar.net,11,False,0,0,270773,26,5,9,True
lee-walker.com,14,False,1,0,364721,40,14,19,False
lawrence.com,12,True,0,0,60318,61,9,12,False
gregory.org,11,False,0,0,110318,58,6,2,True
johnson.com,11,False,0,0,387421,55,1,11,True
sheppard-soto.com,17,False,1,0,184110,58,8,9,False
daniels.com,11,False,0,0,209370,10,8,2,False
anderson.biz,12,True,0,0,247087,17,11,16,False
wyatt-hayes.com,15,False,1,0,414432,70,1,18,True
mills.com,9,False,0,0,282779,34,14,4,True
torres-king.net,15,True,1,0,478965,19,13,11,True
thomas.net,10,False,0,0,125406,53,7,15,True
jones-rhodes.com,16,True,1,0,138323,32,5,12,False
davis-esparza.info,18,False,1,0,72240,49,1,18,True
williams-smith.com,18,False,1,0,467953,36,15,2,True
austin.info,11,False,0,0,399917,54,14,3,False
leblanc.com,11,True,0,0,496688,29,10,9,True
kelley-cross.com,16,False,1,0,452858,45,1,12,False
norton.info,11,False,0,0,479730,54,12,1,True
martinez.com,12,True,0,0,422060,51,13,17,False
robinson.org,12,True,0,0,462227,50,10,2,False
green.org,9,True,0,0,287171,11,10,12,True
kennedy.net,11,True,0,0,221580,49,15,3,False
lucas.org,9,False,0,0,353725,64,8,7,True
santiago-roach.com,18,False,1,0,285365,18,13,13,True
romero.info,11,True,0,0,137026,20,2,12,True
smith.com,9,False,0,0,212213,64,2,2,True
hayes-sanders.info,18,True,1,0,238333,58,13,18,False
west.com,8,False,0,0,236432,28,9,8,True
palmer.org,10,True,0,0,422789,53,0,16,True
fox-miller.com,14,False,1,0,259898,27,5,9,False
rowe-finley.com,15,False,1,0,324325,66,7,10,False
rowland-rios.net,16,True,1,0,431595,67,2,1,False
smith-weaver.com,16,False,1,0,166925,24,6,9,True
lowe-beck.com,13,False,1,0,403072,66,3,7,False
roberson.biz,12,False,0,0,122597,11,15,12,True
smith-booth.com,15,True,1,0,251141,61,5,15,False
miller.info,11,False,0,0,255387,36,13,4,True
young.org,9,True,0,0,429652,57,1,11,True
martinez-gill.com,17,True,1,0,74956,59,1,3,False
murillo.com,11,True,0,0,388061,22,10,9,False
miller.info,11,True,0,0,176972,25,13,19,True
rogers-ray.net,14,False,1,0,41765,24,11,18,True
burns.com,9,False,0,0,91909,49,7,2,True
thompson.com,12,True,0,0,113770,60,9,5,False
barnes-wright.com,17,False,1,0,422599,70,11,4,True
andrews.com,11,True,0,0,451590,66,11,11,False
rios.com,8,False,0,0,439220,53,2,17,True
anderson.org,12,True,0,0,431648,40,9,12,False
harrington-greene.com,21,True,1,0,143393,60,13,2,True
morris-hughes.biz,17,True,1,0,172844,10,2,3,False
nixon.com,9,True,0,0,281210,14,14,9,True
taylor.com,10,False,0,0,268484,57,7,12,False
nelson-smith.biz,16,True,1,0,478892,37,7,13,True
thompson.com,12,True,0,0,278629,69,7,16,False
